Site ID	Name	Principal Investigator	Data Use Policy	AmeriFlux BASE Data	AmeriFlux FLUXNET Data	Vegetation Abbreviation (IGBP)	Vegetation Description (IGBP)	Climate Class Abbreviation (Koeppen)	Climate Class Description (Koeppen)	Mean Average Precipitation (mm)	Mean Average Temperature (degrees C)	Country	Latitude (degrees)	Longitude (degrees)	Elevation (m)	Years of AmeriFlux BASE Data	AmeriFlux BASE DOI	Years of AmeriFlux FLUXNET Data	AmeriFlux FLUXNET DOI	Site Start	Site End	BASE variables available	FLUXNET variables available
"CA-ER1"	"Elora Research Station"	"Claudia Wagner-Riddle (cwagnerr@uoguelph.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"946"	"6.7"	"Canada"	"43.6405"	"-80.4123"	"370"	"2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/1579541"	"2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1832154"	"2015"	""	"CO2, CO2_SIGMA, FC, H, H2O, H2O_SIGMA, LE, MO_LENGTH, PA, RH, SW_IN, TA, TAU, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"CA-ER2"	"Elora Research Station"	"Claudia Wagner-Riddle (cwagnerr@uoguelph.ca)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"946"	"6.7"	"Canada"	"43.6419"	"-80.4140"	"370"	""	"https://doi.org/"	""	"https://doi.org/"	"2015"	""	""	""
"CA-Gro"	"Ontario - Groundhog River, Boreal Mixedwood Forest"	"Harry McCaughey (mccaughe@queensu.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"MF"	"Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"831"	"1.3"	"Canada"	"48.2167"	"-82.1556"	"340"	"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"	"https://doi.org/10.17190/AMF/1245996"	"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014"	"https://doi.org/10.17190/AMF/1902823"	"2003"	""	"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-HPC"	"Havikpak Creek"	"Phil Marsh (pmarsh@wlu.ca)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"240.6"	"-8.2"	"Canada"	"68.3203"	"-133.5188"	"80"	"2018"	"https://doi.org/10.17190/AMF/1773392"	""	"https://doi.org/"	"2013"	"2017"	"ALB, CH4, CO2, D_SNOW, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL"	""
"CA-KLP"	"Kinoje Lake Peatland"	"Elyn Humphreys (elynhumphreys@cunet.carleton.ca)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"680"	"-1.1"	"Canada"	"51.5902"	"-81.7684"	"71"	""	"https://doi.org/"	""	"https://doi.org/"	"2009"	""	""	""
"CA-Let"	"Alberta - Mixed Grass Prairie"	"Lawrence B. Flanagan (larry.flanagan@uleth.ca)"	"Legacy"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"398.4"	"5.36"	"Canada"	"49.7093"	"-112.9402"	"960"	"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008"	"https://doi.org/10.17190/AMF/1436318"	""	"https://doi.org/"	"1998"	""	"CO2, G, H, H2O, LE, MO_LENGTH, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, USTAR, VPD, WD, WS"	""
"CA-LP1"	"British Columbia - Mountain pine beetle-attacked lodgepole pine stand "	"Thomas Andrew Black (andrew.black@ubc.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Csa"	"Mediterranean: mild with dry, hot summer"	"570"	"2"	"Canada"	"55.1119"	"-122.8414"	"751"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1660337"	"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1832155"	"2007"	""	"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS"	""
"CA-LuM"	"Luther Marsh Wildlife Management Area"	"Elisa Fleischer (elisa.fleischer@uni-muenster.de)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"905"	"6.6"	"Canada"	"43.9201"	"-80.4052"	"485"	""	"https://doi.org/"	""	"https://doi.org/"	"2014"	"2014"	""	""
"CA-MA1"	"Manitoba Agricultural Site 1"	"Brian Amiro (brian_amiro@umanitoba.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"514"	"2.6"	"Canada"	"50.1645"	"-97.8762"	"261"	"2009, 2010, 2011"	"https://doi.org/10.17190/AMF/1617701"	"2009, 2010, 2011"	"https://doi.org/10.17190/AMF/2007165"	"2009"	"2011"	"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS"	""
"CA-MA2"	"Manitoba Agricultural Site 2"	"Brian Amiro (brian_amiro@umanitoba.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"514"	"2.6"	"Canada"	"50.1710"	"-97.8762"	"261"	"2009, 2010, 2011"	"https://doi.org/10.17190/AMF/1617702"	"2009, 2010, 2011"	"https://doi.org/10.17190/AMF/2007166"	"2009"	"2011"	"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS"	""
"CA-MA3"	"Manitoba Agricultural Site 3"	"Brian Amiro (brian_amiro@umanitoba.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"514"	"2.6"	"Canada"	"50.1774"	"-97.8686"	"261"	"2009, 2010, 2011"	"https://doi.org/10.17190/AMF/1617703"	"2009, 2010, 2011"	"https://doi.org/10.17190/AMF/2007167"	"2009"	"2011"	"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS"	""
"CA-Man"	"Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)"	"Brian Amiro (Brian_Amiro@umanitoba.ca)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"520"	"-3.2"	"Canada"	"55.8796"	"-98.4808"	"259"	"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008"	"https://doi.org/10.17190/AMF/1245997"	""	"https://doi.org/"	"1994"	"2008"	"CO2, FC, GPP, H, H2O, LE, NEE, NETRAD, PA, PPFD_BC_IN, PPFD_IN, P_RAIN, RECO, RH, SC, TA, TS, USTAR, WD, WS, ZL"	""
"CA-Mer"	"Ontario - Eastern Peatland, Mer Bleue"	"Peter Lafleur (plafleur@trentu.ca)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"943"	"6"	"Canada"	"45.4094"	"-75.5186"	"70"	""	"https://doi.org/"	""	"https://doi.org/"	"1998"	""	""	""
"CA-MR3"	"Mattheis Ranch - E3 South"	"John Gamon (jgamon@gmail.com)"	"Legacy"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Dwd"	"Subarctic: severe, very cold and dry winter, cool summer"	"325"	""	"Canada"	"50.8671"	"-111.9045"	"712"	"2012, 2013, 2014, 2015, 2016"	"https://doi.org/10.17190/AMF/1480320"	""	"https://doi.org/"	"2012"	""	"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, NEE, PA, PPFD_IN, RECO, RH, SC, SH, SLE, TA, TAU, TAU_SSITC_TEST, T_SONIC, USTAR, VPD, WD, WS, WS_MAX"	""
"CA-MR5"	"Mattheis Ranch - E5 North"	"John Gamon (jgamon@gmail.com)"	"Legacy"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Dwd"	"Subarctic: severe, very cold and dry winter, cool summer"	"325"	""	"Canada"	"50.9056"	"-111.8823"	"700"	"2012, 2013, 2014, 2015, 2016"	"https://doi.org/10.17190/AMF/1480321"	""	"https://doi.org/"	"2012"	""	"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, NEE, PA, PPFD_IN, RECO, RH, SC, SH, SLE, TA, TAU, TAU_SSITC_TEST, T_SONIC, USTAR, VPD, WD, WS, WS_MAX"	""
"CA-Na1"	"New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest)"	"Charles P.-A. Bourque (cbourque@unb.ca)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1102.7"	"7.09"	"Canada"	"46.4722"	"-67.1000"	"341"	"2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1436319"	""	"https://doi.org/"	"2003"	""	"CO2, D_SNOW, FC, G, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, WD, WS"	""
"CA-NS1"	"UCI-1850 burn site"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"500.29"	"-2.89"	"Canada"	"55.8792"	"-98.4839"	"260"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1245998"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1902824"	"2002"	"2005"	"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-NS2"	"UCI-1930 burn site"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"499.82"	"-2.88"	"Canada"	"55.9058"	"-98.5247"	"260"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1245999"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1902825"	"2001"	"2005"	"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-NS3"	"UCI-1964 burn site"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"502.22"	"-2.87"	"Canada"	"55.9117"	"-98.3822"	"260"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1246000"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1902826"	"2001"	"2005"	"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-NS4"	"UCI-1964 burn site wet"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"502.22"	"-2.87"	"Canada"	"55.9144"	"-98.3806"	"260"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1246001"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1902827"	"2002"	"2004"	"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-NS5"	"UCI-1981 burn site"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"500.34"	"-2.86"	"Canada"	"55.8631"	"-98.4850"	"260"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1246002"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1902828"	"2001"	"2005"	"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-NS6"	"UCI-1989 burn site"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"495.37"	"-3.08"	"Canada"	"55.9167"	"-98.9644"	"244"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1246003"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1902829"	"2001"	"2005"	"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-NS7"	"UCI-1998 burn site"	"Mike Goulden (mgoulden@uci.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"OSH"	"Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"483.27"	"-3.52"	"Canada"	"56.6358"	"-99.9483"	"297"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1246004"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/"	"2002"	"2005"	"CO2, FC, H, H2O, LE, NETRAD, P, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-NS8"	"UCI-2003 burn site"	"Mike Goulden (mgoulden@uci.edu)"	"Legacy"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"506.69"	"-2.71"	"Canada"	"55.8981"	"-98.2161"	"274"	"2001, 2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1246005"	""	"https://doi.org/"	"2001"	"2005"	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"CA-Oas"	"Saskatchewan - Western Boreal, Mature Aspen"	"Andy Black (andrew.black@ubc.ca)"	"CC-BY-4.0"	"Yes"	"No"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"428.53"	"0.34"	"Canada"	"53.6289"	"-106.1978"	"530"	"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1375197"	""	"https://doi.org/"	"1997"	""	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"CA-Obs"	"Saskatchewan - Western Boreal, Mature Black Spruce"	"Warren Helgason (warren.helgason@usask.ca)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"405.6"	"0.79"	"Canada"	"53.9872"	"-105.1178"	"628.94"	"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1375198"	""	"https://doi.org/"	"1999"	""	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"CA-Ojp"	"Saskatchewan - Western Boreal, Mature Jack Pine"	"Warren Helgason (warren.helgason@usask.ca)"	"Legacy"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"430.5"	"0.12"	"Canada"	"53.9163"	"-104.6920"	"579"	"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1375199"	""	"https://doi.org/"	"1999"	""	"CO2, D_SNOW, FC, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, VPD, WD, WS"	""
"CA-Qc2"	"Quebec - 1975 Harvested Black Spruce (HBS75)"	"Hank Margolis (Hank.Margolis@sbf.ulaval.ca)"	"Legacy"	"Yes"	"No"	"MF"	"Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape."	""	""	""	""	"Canada"	"49.7598"	"-74.5711"	""	"2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1419514"	""	"https://doi.org/"	"2007"	""	"CO2, D_SNOW, FC, G, GPP, H, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SLE, SWC, TA, TS, USTAR, WD, WS"	""
"CA-Qcu"	"Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover"	"Hank A. Margolis (Hank.Margolis@sbf.ulaval.ca)"	"Legacy"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"949.78"	"0.13"	"Canada"	"49.2671"	"-74.0365"	"392.3"	"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1246828"	""	"https://doi.org/"	"2001"	""	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"CA-Qfo"	"Quebec - Eastern Boreal, Mature Black Spruce"	"Hank A. Margolis (Hank.Margolis@sbf.ulaval.ca)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Dfc"	"Subarctic: severe winter, no dry season, cool summer"	"962.32"	"-0.36"	"Canada"	"49.6925"	"-74.3421"	"382"	"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/1246829"	"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010"	"https://doi.org/10.17190/AMF/2006960"	"2003"	""	"CO2, FC, G, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS"	""
"CA-RBM"	"Richmond Brackish Marsh"	"Sara Knox (sara.knox@ubc.ca)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Csb"	"Mediterranean: mild with dry, warm summer"	"1152"	"10.4"	"Canada"	"49.1313"	"-123.1964"	""	""	"https://doi.org/"	""	"https://doi.org/"	"2022"	""	""	""
